age,ast_per_poss,blk_per_poss,def_rtg,drb_per_poss,fg2_pct,fg2_per_poss,fg2a_per_poss,fg3_pct,fg3_per_poss,fg3a_per_poss,fg_pct,fg_per_poss,fga_per_poss,ft_pct,ft_per_poss,fta_per_poss,g,gs,lg_id,mp,name,off_rtg,orb_per_poss,pf_per_poss,pid,pos,pts_per_poss,season,stl_per_poss,team_id,tov_per_poss,trb_per_poss
21,3.2,1.8,106,8.7,.375,7.6,20.2,.286,2.3,8.0,.350,9.9,28.2,.871,12.4,14.2,6,6,NBA,231,Kevin Durant,98,1.8,3.9,0,SF,34.4,2009-10,0.7,OKC,5.0,10.6
22,3.5,1.4,107,8.9,.500,8.6,17.3,.339,2.7,8.0,.449,11.3,25.3,.838,10.2,12.2,17,17,NBA,722,Kevin Durant,119,1.3,3.8,0,SF,35.6,2010-11,1.2,OKC,3.1,10.2
23,4.7,1.5,107,8.5,.575,9.9,17.3,.373,2.6,7.0,.517,12.5,24.2,.864,8.4,9.8,20,20,NBA,837,Kevin Durant,119,0.8,3.2,0,SF,36.1,2011-12,1.8,OKC,4.0,9.4
24,7.4,1.3,102,9.8,.511,9.6,18.8,.314,2.3,7.5,.455,11.9,26.2,.830,9.9,11.9,11,11,NBA,485,Kevin Durant,112,0.7,2.8,0,SF,36.2,2012-13,1.5,OKC,4.6,10.6
25,4.8,1.6,108,9.3,.508,9.6,19.0,.344,2.7,8.0,.460,12.4,26.9,.810,8.4,10.4,19,19,NBA,815,Kevin Durant,110,1.6,2.6,0,SF,35.9,2013-14,1.2,OKC,4.6,10.8
27,4.2,1.3,107,8.0,.485,10.0,20.6,.282,2.2,7.6,.430,12.2,28.3,.890,9.0,10.1,18,18,NBA,726,Kevin Durant,107,0.9,2.6,0,SF,35.5,2015-16,1.3,OKC,4.5,8.9
28,5.7,1.8,105,9.2,.610,10.0,16.3,.442,3.4,7.7,.556,13.4,24.1,.893,8.3,9.2,15,15,NBA,533,Kevin Durant,129,1.4,3.5,0,PF,38.4,2016-17,1.1,GSW,3.4,10.7
29,6.1,1.5,104,9.2,.556,10.2,18.3,.341,2.9,8.5,.487,13.1,26.8,.901,8.4,9.4,21,21,NBA,807,Kevin Durant,119,0.8,2.7,0,PF,37.5,2017-18,0.9,GSW,3.1,10.1
