age,ast,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,gs,lg_id,mp,name,orb,pf,pid,pos,pts,season,stl,team_id,tov,trb
21,14,8,38,.390,43,33,.375,88,10,.286,35,.350,123,54,.871,62,6,6,NBA,231,Kevin Durant,8,17,0,SF,150,2009-10,3,OKC,22,46
22,48,19,121,.503,155,118,.500,236,37,.339,109,.449,345,140,.838,167,17,17,NBA,722,Kevin Durant,18,52,0,SF,487,2010-11,16,OKC,42,139
23,74,24,135,.570,198,157,.575,273,41,.373,110,.517,383,133,.864,154,20,20,NBA,837,Kevin Durant,13,51,0,SF,570,2011-12,29,OKC,63,148
24,69,12,92,.500,112,90,.511,176,22,.314,70,.455,246,93,.830,112,11,11,NBA,485,Kevin Durant,7,26,0,SF,339,2012-13,14,OKC,43,99
25,75,25,145,.511,194,151,.508,297,43,.344,125,.460,422,132,.810,163,19,19,NBA,815,Kevin Durant,25,41,0,SF,563,2013-14,19,OKC,72,170
27,60,18,115,.468,175,144,.485,297,31,.282,110,.430,407,130,.890,146,18,18,NBA,726,Kevin Durant,13,37,0,SF,511,2015-16,18,OKC,65,128
28,64,20,103,.627,149,111,.610,182,38,.442,86,.556,268,92,.893,103,15,15,NBA,533,Kevin Durant,16,39,0,PF,428,2016-17,12,GSW,38,119
29,99,25,150,.541,212,165,.556,297,47,.341,138,.487,435,137,.901,152,21,21,NBA,807,Kevin Durant,13,43,0,PF,608,2017-18,15,GSW,50,163
