age,avg_dist,fg2_dunk,fg2_pct,fg2_pct_ast,fg2a_pct_fga,fg3_heave,fg3_pct,fg3_pct_ast,fg3_pct_corner,fg3a_heave,fg3a_pct_fga,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,g,lg_id,mp,name,pct_fg2_dunk,pct_fg3a_corner,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pid,pos,season,team_id
21,14.5,6,.375,.576,.715,0,.286,.600,.000,1,.285,.350,.464,.364,.304,.346,6,NBA,231,Kevin Durant,.057,.029,.228,.089,.187,.211,0,SF,2009-10,OKC
22,15.5,26,.500,.542,.684,0,.339,.811,.333,0,.316,.449,.758,.419,.421,.392,17,NBA,722,Kevin Durant,.081,.083,.180,.125,.165,.214,0,SF,2010-11,OKC
23,13.5,25,.575,.420,.713,0,.373,.756,.556,0,.287,.517,.670,.453,.557,.588,20,NBA,837,Kevin Durant,.076,.082,.230,.167,.183,.133,0,SF,2011-12,OKC
24,14.9,13,.511,.233,.715,0,.314,.455,.333,2,.285,.455,.750,.432,.500,.409,11,NBA,485,Kevin Durant,.053,.086,.146,.179,.211,.179,0,SF,2012-13,OKC
25,14.5,17,.508,.530,.704,0,.344,.837,.500,1,.296,.460,.718,.465,.375,.525,19,NBA,815,Kevin Durant,.045,.080,.168,.168,.227,.140,0,SF,2013-14,OKC
27,14.3,18,.485,.486,.730,0,.282,.742,.429,1,.270,.430,.640,.423,.392,.493,18,NBA,726,Kevin Durant,.052,.064,.184,.128,.238,.179,0,SF,2015-16,OKC
28,14.1,25,.610,.541,.679,0,.442,.632,.444,1,.321,.556,.732,.500,.479,.629,15,NBA,533,Kevin Durant,.093,.105,.265,.104,.179,.131,0,PF,2016-17,GSW
29,15.9,21,.556,.412,.683,0,.341,.511,.500,0,.317,.487,.727,.537,.496,.535,21,NBA,807,Kevin Durant,.048,.043,.126,.094,.264,.198,0,PF,2017-18,GSW
