age,ast_pct,blk_pct,bpm,bpm_dum,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,lg_id,mp,name,obpm,orb_pct,ows,per,pid,pos,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_dum,ws_per_48
21,13.4,2.8,-0.3,,0.3,18.4,0.3,.285,.504,6,NBA,231,Kevin Durant,-0.6,3.8,-0.1,16.6,0,SF,2009-10,0.7,OKC,12.8,11.0,.499,34.0,0.1,0.3,,.054
22,13.3,2.0,4.8,,0.4,18.8,0.6,.316,.484,17,NBA,722,Kevin Durant,4.4,3.0,2.6,24.1,0,SF,2010-11,1.2,OKC,9.1,11.1,.582,29.0,1.2,3.3,,.217
23,16.4,2.4,7.3,,1.7,19.0,0.6,.287,.402,20,NBA,837,Kevin Durant,5.6,1.9,3.5,27.5,0,SF,2011-12,1.8,OKC,12.3,10.6,.632,28.8,2.0,4.0,,.231
24,29.2,2.1,8.3,,2.3,21.1,0.7,.285,.455,11,NBA,485,Kevin Durant,6.0,1.6,1.5,26.0,0,SF,2012-13,1.5,OKC,12.7,11.5,.574,31.9,1.3,2.1,,.210
25,18.3,2.3,4.3,,1.7,19.1,0.9,.296,.386,19,NBA,815,Kevin Durant,2.6,3.7,1.5,22.6,0,SF,2013-14,1.2,OKC,12.7,11.8,.570,31.6,1.3,2.5,,.145
27,14.9,2.0,1.8,,0.9,17.4,0.8,.270,.359,18,NBA,726,Kevin Durant,0.9,2.0,1.2,20.3,0,SF,2015-16,1.3,OKC,12.1,9.8,.542,32.1,0.7,2.0,,.130
28,19.5,3.0,8.7,,0.9,19.5,0.9,.321,.384,15,NBA,533,Kevin Durant,7.7,3.5,2.2,27.5,0,PF,2016-17,1.1,GSW,10.8,12.0,.683,28.3,1.4,3.1,,.280
29,20.7,2.7,6.4,,0.8,19.4,1.3,.317,.349,21,NBA,807,Kevin Durant,5.7,1.9,2.7,25.1,0,PF,2017-18,0.9,GSW,9.1,11.1,.606,30.6,1.7,4.0,,.237
