age,ast_per_g,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,lg_id,mp_per_g,name,orb_per_g,pf_per_g,pid,pos,pts_per_g,season,stl_per_g,team_id,tov_per_g,trb_per_g
21,2.3,1.3,6.3,.390,.375,5.5,14.7,.286,1.7,5.8,.350,7.2,20.5,.871,9.0,10.3,6,6,NBA,38.5,Kevin Durant,1.3,2.8,0,SF,25.0,2009-10,0.5,OKC,3.7,7.7
22,2.8,1.1,7.1,.503,.500,6.9,13.9,.339,2.2,6.4,.449,9.1,20.3,.838,8.2,9.8,17,17,NBA,42.5,Kevin Durant,1.1,3.1,0,SF,28.6,2010-11,0.9,OKC,2.5,8.2
23,3.7,1.2,6.8,.570,.575,7.9,13.7,.373,2.1,5.5,.517,9.9,19.2,.864,6.7,7.7,20,20,NBA,41.9,Kevin Durant,0.7,2.6,0,SF,28.5,2011-12,1.5,OKC,3.2,7.4
24,6.3,1.1,8.4,.500,.511,8.2,16.0,.314,2.0,6.4,.455,10.2,22.4,.830,8.5,10.2,11,11,NBA,44.1,Kevin Durant,0.6,2.4,0,SF,30.8,2012-13,1.3,OKC,3.9,9.0
25,3.9,1.3,7.6,.511,.508,7.9,15.6,.344,2.3,6.6,.460,10.2,22.2,.810,6.9,8.6,19,19,NBA,42.9,Kevin Durant,1.3,2.2,0,SF,29.6,2013-14,1.0,OKC,3.8,8.9
27,3.3,1.0,6.4,.468,.485,8.0,16.5,.282,1.7,6.1,.430,9.7,22.6,.890,7.2,8.1,18,18,NBA,40.3,Kevin Durant,0.7,2.1,0,SF,28.4,2015-16,1.0,OKC,3.6,7.1
28,4.3,1.3,6.9,.627,.610,7.4,12.1,.442,2.5,5.7,.556,9.9,17.9,.893,6.1,6.9,15,15,NBA,35.5,Kevin Durant,1.1,2.6,0,PF,28.5,2016-17,0.8,GSW,2.5,7.9
29,4.7,1.2,7.1,.541,.556,7.9,14.1,.341,2.2,6.6,.487,10.1,20.7,.901,6.5,7.2,21,21,NBA,38.4,Kevin Durant,0.6,2.0,0,PF,29.0,2017-18,0.7,GSW,2.4,7.8
